Time	"Time Code"	"Country Name"	"Country Code"	"Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS]"	"Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]"	"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]"	"Incidence of HIV, all (per 1,000 uninfected population) [SH.HIV.INCD.TL.P3]"	"Incidence of malaria (per 1,000 population at risk) [SH.MLR.INCD.P3]"	"Incidence of tuberculosis (per 100,000 people) [SH.TBS.INCD]"	"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]"	"Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]"	"Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]"	"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]"	"Number of infant deaths [SH.DTH.IMRT]"	"Number of maternal deaths [SH.MMR.DTHS]"	"Number of neonatal deaths [SH.DTH.NMRT]"	"Number of surgical procedures (per 100,000 population) [SH.SGR.PROC.P5]"	"People using safely managed drinking water services, rural (% of rural population) [SH.H2O.SMDW.RU.ZS]"	"People using safely managed drinking water services, urban (% of urban population) [SH.H2O.SMDW.UR.ZS]"	"People using safely managed drinking water services (% of population) [SH.H2O.SMDW.ZS]"	"Physicians (per 1,000 people) [SH.MED.PHYS.ZS]"	"Population ages 0-14 (% of total population) [SP.POP.0014.TO.ZS]"	"Population ages 15-64 (% of total population) [SP.POP.1564.TO.ZS]"	"Population ages 65 and above, total [SP.POP.65UP.TO]"	"Poverty gap at $1.90 a day (2011 PPP) (%) [SI.POV.GAPS]"	"Poverty gap at $3.20 a day (2011 PPP) (%) [SI.POV.LMIC.GP]"	"Poverty gap at $5.50 a day (2011 PPP) (%) [SI.POV.UMIC.GP]"	"Pregnant women receiving prenatal care (%) [SH.STA.ANVC.ZS]"
2014	"YR2014"	"Mauritania"	"MRT"	""	"4.794"	""	""	"49.2028022124229"	"111"	"63.654"	"182.722"	"227.389"	"56.4"	"7709"	"1100"	"4938"	""	""	""	""	"0.1582"	"40.6832945974658"	"56.1962209124841"	"122663"	"1.4"	"6.7"	"21.6"	""
2014	"YR2014"	"Mauritius"	"MUS"	""	"1.43"	""	"0.49"	""	"13"	"74.1943902439024"	"95.844"	"194.902"	"12.9"	"177"	"9"	"125"	""	""	""	""	"1.9318"	"19.8919954984869"	"70.6938772263999"	"118706"	""	""	""	""
2014	"YR2014"	"Mexico"	"MEX"	""	"2.243"	"1.03"	""	"0.257052284277883"	"22"	"74.908"	"80.698"	"143.773"	"14.4"	"32677"	"870"	"18917"	""	""	""	"42.242122151429"	"2.207"	"28.0063953735316"	"65.4188112366928"	"7913101"	"1.1"	"3.7"	"11.4"	"97.2"
2014	"YR2014"	"Micronesia, Fed. Sts."	"FSM"	""	"3.243"	""	""	""	"219"	"67.152"	"150.358"	"182.149"	"28.6"	"71"	"2"	"44"	""	""	""	""	""	"33.2585670941682"	"63.3825363438378"	"3609"	""	""	""	""
2014	"YR2014"	"Moldova"	"MDA"	""	"1.265"	"5.66"	"0.3"	""	"115"	"71.267"	"99.914"	"246.042"	"13.7"	"602"	"10"	"518"	"4898"	""	""	"72.026140816037"	"2.4746"	"15.8331588274877"	"74.2042472063312"	"284626"	"0"	"0.1"	"3.4"	""
2014	"YR2014"	"Monaco"	"MCO"	""	""	""	""	""	"0"	""	""	""	"3"	"1"	""	"1"	""	""	"100"	"100"	"7.5067"	""	""	""	""	""	""	""
2014	"YR2014"	"Mongolia"	"MNG"	""	"2.894"	""	"0.02"	""	"428"	"68.863"	"131.767"	"298.682"	"18.6"	"1410"	"37"	"752"	"5339"	""	""	"23.8734580478568"	"3.1632"	"28.3748760249623"	"67.787169723017"	"112840"	"0"	"0.5"	"4.3"	""
2014	"YR2014"	"Montenegro"	"MNE"	""	"1.719"	"3.93"	"0.05"	""	"21"	"76.297"	"71.625"	"134.089"	"3.6"	"27"	"0"	"18"	""	""	"94.0142857142857"	"91.8433620449555"	"2.1861"	"18.6311228845678"	"67.858835544846"	"84007"	"0.4"	"2.3"	"7.3"	""
2014	"YR2014"	"Morocco"	"MAR"	""	"2.552"	"1.1"	"0.03"	"0"	"101"	"75.477"	"67.372"	"76.916"	"22.7"	"15998"	"540"	"11933"	""	"37.3123479093103"	"88.5775273221678"	"68.2026927812987"	"0.9135"	"27.8738842133638"	"65.8666116524228"	"2140271"	""	""	""	""
2014	"YR2014"	"Mozambique"	"MOZ"	""	"5.131"	""	"6.05"	"364.834358662525"	"361"	"56.062"	"308.892"	"380.368"	"63.2"	"63732"	"3500"	"32315"	""	""	""	""	""	"45.5785967620794"	"51.4865885285548"	"771450"	"28.6"	"47.3"	"64.4"	""
2014	"YR2014"	"Myanmar"	"MMR"	""	"2.217"	""	"0.27"	"12.331302856676"	"411"	"65.378"	"167.006"	"228.447"	"42"	"39976"	"2400"	"24228"	""	""	""	""	""	"28.3069486433496"	"66.6403230369896"	"2641607"	""	""	""	""
2014	"YR2014"	"Namibia"	"NAM"	""	"3.577"	""	"4.18"	"14.4880472501859"	"674"	"61.425"	"284.653"	"371.987"	"34.3"	"2332"	"150"	"1401"	""	""	""	""	""	"36.9252884307056"	"59.2538212202481"	"86865"	""	""	""	""
2014	"YR2014"	"Nauru"	"NRU"	""	""	""	""	""	"89"	""	""	""	"29.4"	"9"	""	"7"	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Nepal"	"NPL"	""	"2.176"	""	"0.05"	"0.625463015482034"	"276"	"69.168"	"138.265"	"179.623"	"30.9"	"17848"	"1300"	"13429"	""	"24.9999499475212"	"34.2657304226294"	"26.6846549846987"	"0.5951"	"33.9628836387215"	"60.5982841433974"	"1463423"	""	""	""	"68.3"
2014	"YR2014"	"Netherlands"	"NLD"	""	"1.71"	""	"0.04"	""	"5.5"	"81.7073170731707"	"50.465"	"67.33"	"3.5"	"609"	"11"	"464"	""	""	""	"99.9576358575937"	"3.3468"	"16.9421228551827"	"65.6163321488448"	"2941518"	"0"	"0.1"	"0.2"	""
2014	"YR2014"	"New Caledonia"	"NCL"	""	"2.17"	""	""	""	"12"	"77.2528725957226"	"61.033"	"106.627"	""	""	""	""	""	""	""	"95.9918376423141"	""	"24.1914700510572"	"67.6334041734675"	"21913"	""	""	""	""
2014	"YR2014"	"New Zealand"	"NZL"	""	"1.92"	"2.76"	"0.04"	""	"7.5"	"81.4048780487805"	""	""	"4.7"	"286"	"6"	"197"	""	""	""	"97.1042437220662"	"3.2374"	"20.1037892058438"	"65.5968098272873"	"644860"	""	""	""	""
2014	"YR2014"	"Nicaragua"	"NIC"	""	"2.503"	"0.93"	"0.08"	"0.53929124599028"	"54"	"73.429"	"106.379"	"194.894"	"17.3"	"2360"	"140"	"1696"	""	"29.6065035096745"	"67.2596832423973"	"51.3323888819016"	"0.8946"	"31.6255587294967"	"63.7207131485979"	"285866"	"0.8"	"3.5"	"12.3"	""
2014	"YR2014"	"Niger"	"NER"	""	"7.245"	""	"0.07"	"400.250891597595"	"98"	"60.07"	"238.951"	"267.301"	"53.5"	"48442"	"5300"	"25111"	"263"	""	""	""	"0.0272"	"50.2347717243171"	"47.2003560881632"	"493485"	"13.7"	"33.9"	"56.2"	""
2014	"YR2014"	"Nigeria"	"NGA"	""	"5.653"	""	"0.59"	"314.404862072705"	"219"	"52.672"	"342.287"	"378.39"	"80.4"	"553912"	"66000"	"261842"	""	"14.9970519176744"	"24.427391096317"	"19.4276138580255"	""	"44.1991276729255"	"53.0508239639148"	"4851220"	""	""	""	""
2014	"YR2014"	"North Macedonia"	"MKD"	""	"1.504"	"4.4"	""	""	"17"	"75.299"	"69.001"	"128.259"	"11"	"256"	"2"	"211"	""	"77.5501337198052"	"89.9446511126255"	"84.650206562184"	""	"16.9842740431471"	"70.7563138453394"	"254723"	"2"	"4.1"	"9.7"	""
2014	"YR2014"	"Northern Mariana Islands"	"MNP"	""	""	""	""	""	"54"	""	""	""	""	""	""	""	""	""	""	"88.8518032120341"	""	""	""	""	""	""	""	""
2014	"YR2014"	"Norway"	"NOR"	""	"1.75"	"3.84"	""	""	"6.8"	"82.1"	"43.49"	"69.462"	"2.3"	"135"	"2"	"97"	""	""	""	"98.7005305039788"	"2.6832"	"18.1070598267495"	"65.8528877838851"	"824015"	"0.1"	"0.1"	"0.1"	""
2014	"YR2014"	"Oman"	"OMN"	""	"2.93"	"1.58"	"0.04"	"0"	"10"	"76.634"	"70.132"	"111.733"	"9.6"	"789"	"15"	"433"	""	""	""	"88.8386817142168"	"2.1481"	"22.1323927434534"	"75.5520626927489"	"93253"	""	""	""	"98.6"
2014	"YR2014"	"Pakistan"	"PAK"	""	"3.708"	"0.6"	"0.09"	"7.15240241176694"	"270"	"66.36"	"143.133"	"179.216"	"63.8"	"359295"	"9200"	"265067"	""	"32.4458792540881"	"42.2886411791844"	"35.9714582123584"	"0.8972"	"36.2494074844869"	"59.4436303588378"	"8411791"	""	""	""	""
2014	"YR2014"	"Palau"	"PLW"	""	""	""	""	""	"91"	""	""	""	"18.4"	"5"	""	"3"	""	""	""	""	"1.4205"	""	""	""	""	""	""	""
2014	"YR2014"	"Panama"	"PAN"	""	"2.564"	"2.24"	""	"0.266807763019596"	"47"	"77.583"	"80.354"	"152.112"	"15"	"1179"	"47"	"796"	""	""	""	""	""	"28.1096317804719"	"64.5144943472891"	"287756"	"1.1"	"3.1"	"7.1"	""
2014	"YR2014"	"Papua New Guinea"	"PNG"	""	"3.758"	""	"0.37"	"243.029053574595"	"432"	"63.181"	"194.833"	"259.603"	"40.8"	"9093"	"350"	"5452"	""	""	""	""	""	"37.1360295366773"	"59.6128847966396"	"258355"	""	""	""	""
2014	"YR2014"	"Paraguay"	"PRY"	""	"2.542"	"0.83"	"0.19"	"0"	"39"	"73.473"	"126.102"	"166.165"	"19.5"	"2746"	"190"	"1808"	""	"46.7489692838593"	"71.4150730383006"	"61.665548794651"	""	"30.8604587662811"	"63.4157513736593"	"377743"	"0.6"	"2.1"	"6.6"	""
2014	"YR2014"	"Peru"	"PER"	""	"2.355"	"1.56"	"0.13"	"7.10217344987297"	"125"	"75.529"	"96.121"	"155.156"	"12.7"	"7276"	"550"	"4529"	""	"19.5676347276438"	"58.4272070949887"	"49.5567301252226"	""	"28.3839850498294"	"64.5561789409026"	"2124330"	"1"	"3.5"	"9.5"	"96.9"
2014	"YR2014"	"Philippines"	"PHL"	""	"2.894"	"0.99"	"0.09"	"0.249143429197962"	"546"	"70.481"	"139.184"	"263.544"	"23.7"	"54691"	"3000"	"33494"	""	"33.0836506451537"	"61.1694845313803"	"46.0292537255042"	""	"32.6489813640489"	"62.8560671200588"	"4518017"	""	""	""	""
2014	"YR2014"	"Poland"	"POL"	""	"1.32"	"6.63"	""	""	"20"	"77.6024390243903"	"64.372"	"162.874"	"4.3"	"1647"	"9"	"1133"	""	""	""	"97.4940255468349"	"2.302"	"14.8162054384951"	"69.984874940173"	"5777373"	"0.1"	"0.4"	"0.9"	""
2014	"YR2014"	"Portugal"	"PRT"	""	"1.23"	"3.32"	""	""	"24"	"81.1219512195122"	"44.989"	"108.972"	"3"	"257"	"7"	"181"	""	""	""	"95.2378027872312"	"4.5567"	"14.2616904349669"	"65.4166096351603"	"2113673"	"0.2"	"0.5"	"1.3"	""
2014	"YR2014"	"Puerto Rico"	"PRI"	""	"1.432"	""	""	""	"1.5"	"79.2024634146342"	"65.673"	"152.659"	""	""	"7"	""	""	""	""	"90.8703795127483"	""	"19.0714983935938"	"65.5145306213213"	"544864"	""	""	""	""
2014	"YR2014"	"Qatar"	"QAT"	""	"1.95"	"1.2"	""	""	"22"	"79.646"	"47.492"	"66.66"	"7"	"169"	"2"	"101"	""	""	""	"96.3615922688167"	"1.7351"	"13.3069805684618"	"85.7650746300217"	"22820"	""	""	""	""
2014	"YR2014"	"Romania"	"ROU"	""	"1.56"	"6.71"	"0.04"	""	"85"	"74.909756097561"	"78.782"	"183.142"	"8.3"	"1651"	"42"	"920"	""	""	""	"81.9056204823937"	""	"15.5453278185739"	"67.8247129032693"	"3310855"	"2.3"	"5.3"	"11.1"	""
2014	"YR2014"	"Russian Federation"	"RUS"	""	"1.75"	"8.81"	""	""	"70"	"70.7436585365854"	"120.336"	"321.526"	"7.6"	"14358"	"360"	"8270"	""	""	""	"75.7166788872748"	"4.0114"	"16.4598134801807"	"70.1777752619242"	"19217775"	"0"	"0.1"	"0.7"	""
2014	"YR2014"	"Rwanda"	"RWA"	""	"4.197"	""	"0.64"	"219.80607615069"	"65"	"66.884"	"182.308"	"236.359"	"32.5"	"11732"	"1100"	"6809"	""	""	"39.8701923598438"	""	"0.0909"	"40.7720665522036"	"56.5815260884746"	"293318"	""	""	""	""
2014	"YR2014"	"Samoa"	"WSM"	""	"4.086"	""	""	""	"14"	"72.549"	"84.752"	"144.302"	"14.9"	"74"	"2"	"47"	""	""	""	"58.5517942389918"	""	"38.4703024123275"	"56.9126162073863"	"8875"	""	""	""	"93.3"
2014	"YR2014"	"San Marino"	"SMR"	""	""	""	""	""	"0"	""	""	""	"1.9"	"1"	""	"0"	""	""	""	"100"	"6.1094"	""	""	""	""	""	""	""
2014	"YR2014"	"Sao Tome and Principe"	"STP"	""	"4.527"	""	""	"8.96146162767528"	"141"	"69.052"	"165.087"	"220.699"	"27.8"	"181"	"9"	"106"	""	""	""	""	""	"43.4579797370828"	"53.6441063317784"	"5672"	""	""	""	"97.5"
2014	"YR2014"	"Saudi Arabia"	"SAU"	""	"2.589"	"2.65"	""	"0.0121133567928677"	"12"	"74.533"	"79.639"	"98.601"	"7.8"	"4765"	"110"	"3091"	""	""	""	""	"2.5654"	"26.4127128868679"	"70.6265343498186"	"915376"	""	""	""	""
2014	"YR2014"	"Senegal"	"SEN"	""	"4.905"	""	"0.13"	"39.51374064004"	"125"	"66.37"	"159.749"	"227.288"	"37.5"	"19351"	"1900"	"12768"	""	""	""	""	""	"43.5195667447563"	"53.4072197025991"	"435620"	""	""	""	"96.2"
2014	"YR2014"	"Serbia"	"SRB"	""	"1.46"	"5.52"	"0.02"	""	"23"	"75.3365853658537"	"79.4"	"153.982"	"5.7"	"496"	"11"	"360"	""	"66.3907000339722"	"81.3505220424394"	"74.7058201045304"	"2.4611"	"16.3591899521357"	"67.2218557972212"	"1170766"	"4.3"	"6.3"	"11.5"	"98.3"
2014	"YR2014"	"Seychelles"	"SYC"	""	"2.25"	""	""	""	"16"	"73.2292682926829"	"100.206"	"204.037"	"12.6"	"21"	"1"	"15"	""	""	""	""	""	"23.0345486387518"	"69.7054609138672"	"6633"	""	""	""	""
2014	"YR2014"	"Sierra Leone"	"SLE"	""	"4.672"	""	"0.85"	"409.308447457252"	"310"	"52.372"	"397.702"	"406.221"	"94.9"	"23383"	"3000"	"8782"	""	"6.71263287575451"	"11.8461696062551"	"8.78822467966021"	""	"42.2000220032412"	"54.7818999969788"	"211783"	""	""	""	""
2014	"YR2014"	"Singapore"	"SGP"	""	"1.25"	"2.24"	"0.06"	""	"45"	"82.4951219512195"	"38.615"	"66.171"	"2.2"	"111"	"4"	"52"	""	""	"100"	"100"	"2.0125"	"12.9127450898776"	"78.3662520771402"	"477015"	""	""	""	""
2014	"YR2014"	"Sint Maarten (Dutch part)"	"SXM"	""	""	""	""	""	"0"	"77.0682926829268"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"Slovak Republic"	"SVK"	""	"1.37"	"5.79"	""	""	"6.8"	"76.8121951219512"	"63.291"	"154.427"	"5.2"	"297"	"3"	"179"	""	""	""	"99.4111731843576"	"3.4214"	"15.1917651091778"	"71.1571777424968"	"739703"	"0.4"	"0.6"	"1.4"	""
2014	"YR2014"	"Slovenia"	"SVN"	""	"1.58"	"4.54"	""	""	"7.9"	"81.0780487804878"	"43.961"	"94.604"	"2.1"	"45"	"1"	"31"	""	""	""	"95.2561764341703"	"2.7628"	"14.5342076955223"	"67.8337189865189"	"363570"	"0"	"0"	"0"	""
2014	"YR2014"	"Solomon Islands"	"SLB"	""	"4.455"	""	""	"52.6334806127927"	"73"	"71.896"	"132.445"	"170.811"	"19.6"	"383"	"24"	"192"	""	""	""	""	""	"40.5001711865013"	"56.0042174903207"	"20522"	""	""	""	""
2014	"YR2014"	"Somalia"	"SOM"	""	"6.462"	"0.87"	"0.04"	"32.0992081764234"	"274"	"55.509"	"283.687"	"341.285"	"85.3"	"47710"	"5000"	"23037"	""	""	""	""	"0.023"	"47.4188382701231"	"49.7994273951605"	"373408"	""	""	""	""
2014	"YR2014"	"South Africa"	"ZAF"	""	"2.511"	""	"6.6"	"2.14596681075781"	"1070"	"61.968"	"304.312"	"431.175"	"29"	"34772"	"1500"	"13125"	""	""	"84.1839143655892"	""	"0.7541"	"29.3520357971792"	"65.6950110136395"	"2701637"	"6.1"	"15.1"	"29"	""
2014	"YR2014"	"South Sudan"	"SSD"	""	"5.022"	""	"1.51"	"236.143615816832"	"227"	"56.552"	"319.122"	"345.8"	"62.4"	"23358"	"4300"	"14799"	"268"	""	""	""	""	"42.7842571398254"	"53.8021938667233"	"360296"	""	""	""	""
2014	"YR2014"	"Spain"	"ESP"	""	"1.32"	"2.97"	"0.08"	""	"12"	"83.2292682926829"	"38.499"	"77.498"	"2.8"	"1230"	"16"	"861"	"10579"	""	""	"98.4993545420983"	"3.1657"	"14.9056055821202"	"66.7751166816399"	"8514962"	"0.5"	"0.8"	"1.4"	""
2014	"YR2014"	"Sri Lanka"	"LKA"	""	"2.216"	""	"0.01"	"0"	"65"	"76.147"	"60.901"	"161.664"	"8"	"2811"	"130"	"1946"	""	""	"89.6881640807452"	""	"0.8364"	"24.928615618502"	"66.0769595282702"	"1868862"	""	""	""	"95.5"
2014	"YR2014"	"St. Kitts and Nevis"	"KNA"	""	""	""	""	""	"16"	""	""	""	"14.3"	"10"	""	"8"	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"St. Lucia"	"LCA"	""	"1.485"	""	""	""	"3.9"	"75.44"	"109.202"	"166.939"	"18.2"	"41"	"2"	"28"	""	""	""	""	"2.6809"	"20.352671961233"	"70.5708484766905"	"16183"	""	""	""	""
2014	"YR2014"	"St. Martin (French part)"	"MAF"	""	"1.81"	""	""	""	""	"79.3219512195122"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2014	"YR2014"	"St. Vincent and the Grenadines"	"VCT"	""	"1.975"	"2.4"	""	""	"5.3"	"72.01"	"129.45"	"182.354"	"15.7"	"26"	"1"	"18"	""	""	""	""	""	"24.1408768980627"	"66.8889685011161"	"9765"	""	""	""	""
2014	"YR2014"	"Sudan"	"SDN"	""	"4.656"	"8.01"	"0.1"	"33.3845766209327"	"94"	"64.169"	"196.906"	"254.006"	"46.2"	"58549"	"4300"	"38418"	""	""	""	""	"0.1903"	"41.8492189683644"	"54.7443253144513"	"1293692"	"2.8"	"13"	"34.3"	"79.1"
2014	"YR2014"	"Suriname"	"SUR"	""	"2.519"	""	"0.57"	"4.90705955775279"	"33"	"71.133"	"120.722"	"222.351"	"18.5"	"200"	"13"	"141"	""	""	""	""	""	"28.1902424300481"	"65.2853112297184"	"36098"	""	""	""	""
2014	"YR2014"	"Sweden"	"SWE"	""	"1.88"	"2.54"	""	""	"7.5"	"82.2536585365854"	"42.586"	"66.376"	"2.4"	"274"	"5"	"186"	"15228"	""	""	"99.9399962227577"	"4.2037"	"17.0804026482927"	"63.5249255297932"	"1880529"	"0.3"	"0.4"	"0.6"	""
2014	"YR2014"	"Switzerland"	"CHE"	""	"1.54"	"4.73"	"0.06"	""	"5.9"	"83.1975609756098"	"36.652"	"63.344"	"3.8"	"321"	"5"	"256"	""	""	""	"95.4554054054054"	"4.1171"	"14.7858969568859"	"67.413656491919"	"1457616"	"0"	"0"	"0.1"	""
